Elevation,Sig1,Total_S4_Sig1,Correction_total_S4_Sig1,y
31.0,46.3,0.073,0.049,0
26.0,45.1,0.11900000000000001,0.055999999999999994,0
42.0,48.3,0.047,0.038,0
46.0,48.3,0.062,0.038,0
55.0,50.0,0.071,0.032,0
48.0,48.5,0.055,0.038,0
76.0,51.6,0.033,0.026000000000000002,0
12.0,42.1,0.177,0.079,0
36.0,47.0,0.062,0.044000000000000004,0
32.0,46.9,0.09300000000000001,0.045,0
26.0,45.3,0.098,0.054000000000000006,0
43.0,48.1,0.052000000000000005,0.039,0
47.0,48.3,0.073,0.038,0
11.0,39.6,0.191,0.105,0
55.0,50.0,0.06,0.031,0
48.0,48.4,0.043,0.038,0
76.0,51.4,0.039,0.027000000000000003,0
36.0,47.1,0.068,0.044000000000000004,0
32.0,47.1,0.079,0.044000000000000004,0
25.0,44.6,0.115,0.059000000000000004,0
43.0,48.2,0.06,0.039,0
47.0,48.2,0.065,0.039,0
54.0,50.2,0.052000000000000005,0.031,0
48.0,48.6,0.064,0.037000000000000005,0
77.0,51.2,0.04,0.027000000000000003,0
12.0,41.6,0.17600000000000002,0.083,0
36.0,47.0,0.07200000000000001,0.044000000000000004,0
32.0,47.0,0.08199999999999999,0.045,0
25.0,44.5,0.115,0.06,0
44.0,48.5,0.065,0.037000000000000005,0
47.0,48.2,0.07400000000000001,0.039,0
54.0,50.1,0.040999999999999995,0.031,0
47.0,48.5,0.053,0.038,0
77.0,51.2,0.062,0.027999999999999997,0
36.0,47.2,0.065,0.044000000000000004,0
33.0,46.5,0.109,0.047,0
25.0,45.1,0.08199999999999999,0.055999999999999994,0
44.0,48.8,0.083,0.036000000000000004,0
48.0,48.1,0.069,0.039,0
53.0,50.1,0.05,0.031,0
47.0,48.4,0.053,0.038,0
76.0,51.1,0.05,0.027999999999999997,0
13.0,44.0,0.105,0.063,0
37.0,47.0,0.063,0.045,0
33.0,46.7,0.11199999999999999,0.046,0
24.0,45.0,0.129,0.055999999999999994,0
45.0,48.7,0.087,0.037000000000000005,0
48.0,48.5,0.102,0.038,0
53.0,50.3,0.054000000000000006,0.031,0
47.0,48.2,0.063,0.039,0
76.0,51.1,0.045,0.027999999999999997,0
37.0,46.7,0.071,0.046,0
33.0,46.5,0.106,0.047,0
24.0,44.3,0.121,0.061,0
45.0,48.8,0.083,0.036000000000000004,0
49.0,48.7,0.068,0.037000000000000005,0
52.0,50.4,0.057,0.03,0
46.0,48.3,0.055999999999999994,0.038,0
76.0,51.0,0.061,0.027999999999999997,0
13.0,41.1,0.16899999999999998,0.08800000000000001,0
37.0,46.8,0.09699999999999999,0.046,0
34.0,46.1,0.11599999999999999,0.049,0
23.0,44.8,0.14300000000000002,0.057999999999999996,0
46.0,48.9,0.083,0.036000000000000004,0
49.0,48.6,0.07,0.037000000000000005,0
52.0,50.5,0.057999999999999996,0.03,0
46.0,48.5,0.048,0.037000000000000005,0
76.0,51.1,0.05,0.027999999999999997,0
14.0,42.4,0.12300000000000001,0.076,0
37.0,47.2,0.063,0.044000000000000004,0
34.0,46.6,0.13,0.047,0
23.0,44.6,0.134,0.059000000000000004,0
46.0,48.9,0.077,0.036000000000000004,0
50.0,48.8,0.073,0.036000000000000004,0
51.0,50.2,0.039,0.031,0
46.0,48.2,0.06,0.039,0
76.0,51.0,0.05,0.027999999999999997,0
14.0,41.6,0.127,0.083,0
37.0,46.7,0.073,0.046,0
14.0,40.5,0.141,0.095,0
34.0,46.4,0.114,0.048,0
23.0,44.2,0.16899999999999998,0.061,0
46.0,48.7,0.069,0.037000000000000005,0
50.0,49.3,0.078,0.034,0
51.0,50.2,0.055999999999999994,0.031,0
45.0,48.2,0.062,0.039,0
76.0,51.0,0.059000000000000004,0.027999999999999997,0
37.0,47.2,0.08199999999999999,0.043,0
14.0,41.1,0.11699999999999999,0.08800000000000001,0
35.0,45.8,0.1,0.051,0
47.0,48.9,0.084,0.036000000000000004,0
50.0,49.2,0.063,0.035,0
50.0,49.6,0.055999999999999994,0.033,0
45.0,48.2,0.073,0.039,0
76.0,50.9,0.064,0.027999999999999997,0
