Phase and Amplitude Scintillation Indices

Satellite System: 0 = GPS, 1 = GLONASS, 2 = SBAS, 5 = GALILEO, 6 = COMPASS, 7 = QZSS, 8 = LBAND

Frequency: GLONASS frequency channel (-7 to +6) 

Signal Type for each Satellite System

GPS     : 1 = L1CA,     4 = L2Y,  5 = L2C, 6 = L2P,    7 = L5Q
GLONASS : 1 = L1CA,     3 = L2CA, 4 = L2P
SBAS    : 1 = L1CA,     2 = L5I
GALILEO : 1 = E1,       2 = E5A,  3 = E5B, 4 = ALTBOC, 5 = E6
COMPASS : 1 = E2
QZSS    : 1 = L1CA,     3 = L2C,  4 = L5Q
LBAND   : 1 = OMNISTAR, 2 = CDGPS

GPS Week: 2117,  Satellite System: 0

GPS TOW , PRN, Freq, SigType, Az , Elv , CNo , Lock Time, CMC Avg, CMC Std , S4 , S4 Cor, 1SecSigma, 3SecSigma, 10SecSigma, 30SecSigma, 60SecSigma 
100140.00,1,0,7, 276.83,16.14,46.98,3056.429932,-843.661,0.067,0.068948,0.044757,0.060473,0.068541,0.082473,0.083240,0.083255 
100200.00,1,0,1, 276.38,16.03,43.24,3118.570068,1.399,0.332,0.169478,0.068901,0.082771,0.091541,0.103456,0.103748,0.103978 
100200.00,1,0,7, 276.38,16.03,46.84,3116.429932,-843.843,0.034,0.066142,0.045521,0.058441,0.064892,0.073373,0.073518,0.073656 
100260.00,1,0,1, 275.90,15.90,43.92,3178.570068,3.118,0.526,0.145544,0.063700,0.077123,0.088226,0.101444,0.101870,0.101891 
100260.00,1,0,7, 275.90,15.90,47.13,3176.429932,-843.865,0.029,0.087360,0.044039,0.058348,0.067554,0.076387,0.076737,0.076745 
100320.00,1,0,1, 275.48,15.79,39.45,3238.570068,2.434,1.265,0.389233,0.106637,0.121966,0.128318,0.136971,0.137455,0.137444 
100320.00,1,0,7, 275.48,15.79,48.17,3236.429932,-843.692,0.062,0.072909,0.039068,0.054038,0.062901,0.072425,0.072985,0.072979 
100380.00,1,0,1, 275.04,15.67,42.07,3298.570068,0.314,0.502,0.309266,0.078887,0.096830,0.109526,0.129999,0.131164,0.131145 
100380.00,1,0,7, 275.04,15.67,47.29,3296.429932,-843.610,0.036,0.197854,0.043208,0.059680,0.070042,0.086626,0.087585,0.087572 
100440.00,1,0,1, 274.59,15.54,42.45,3358.570068,2.409,0.446,0.219410,0.075479,0.088042,0.110731,0.126395,0.126601,0.126700 
100440.00,1,0,7, 274.59,15.54,44.05,3356.429932,-843.892,0.109,0.178670,0.062729,0.079135,0.095052,0.105220,0.105323,0.105353 
100500.00,1,0,1, 274.15,15.41,39.56,3418.570068,2.261,0.439,0.173456,0.105322,0.119718,0.130006,0.142169,0.142291,0.142371 
